Product code,BoM station,Year,Month,Day,Maximum (C),Minimum (C)
IDCJAC0010,86282,1971,1,1,19.7,11.5
IDCJAC0010,86282,1971,1,2,19.5,9.8
IDCJAC0010,86282,1971,1,3,18.9,11.1
IDCJAC0010,86282,1971,1,4,21.1,12.8
IDCJAC0010,86282,1971,1,5,24.8,14.3
IDCJAC0010,86282,1971,1,6,28.3,14.6
IDCJAC0010,86282,1971,1,7,35.5,14.6
IDCJAC0010,86282,1971,1,8,38,24.4
IDCJAC0010,86282,1971,1,9,25.9,14.6
IDCJAC0010,86282,1971,1,10,23.1,12.7
IDCJAC0010,86282,1971,1,11,32.9,10
IDCJAC0010,86282,1971,1,12,21.3,13.6
IDCJAC0010,86282,1971,1,13,27.6,15.6
IDCJAC0010,86282,1971,1,14,30.1,16.7
IDCJAC0010,86282,1971,1,15,35.7,16.6
IDCJAC0010,86282,1971,1,16,21.1,15.4
IDCJAC0010,86282,1971,1,17,21.2,10.1
IDCJAC0010,86282,1971,1,18,18.4,12.8
IDCJAC0010,86282,1971,1,19,26.9,14.6
IDCJAC0010,86282,1971,1,20,26,13.9
IDCJAC0010,86282,1971,1,21,26.2,11.1
IDCJAC0010,86282,1971,1,22,26.3,11.5
IDCJAC0010,86282,1971,1,23,25.7,14.6
IDCJAC0010,86282,1971,1,24,29.9,16.8
IDCJAC0010,86282,1971,1,25,36.3,17.3
IDCJAC0010,86282,1971,1,26,35.1,16.1
IDCJAC0010,86282,1971,1,27,29.4,18.1
IDCJAC0010,86282,1971,1,28,22.5,15.3
IDCJAC0010,86282,1971,1,29,20.6,13.1
IDCJAC0010,86282,1971,1,30,18.6,13.1
IDCJAC0010,86282,1971,1,31,20.8,15.2
IDCJAC0010,86282,1971,2,1,20.7,14.8
IDCJAC0010,86282,1971,2,2,21.7,15.4
IDCJAC0010,86282,1971,2,3,23.8,15.6
IDCJAC0010,86282,1971,2,4,29,14.5
IDCJAC0010,86282,1971,2,5,27.2,16.6
IDCJAC0010,86282,1971,2,6,29.7,17.9
IDCJAC0010,86282,1971,2,7,32.3,17.2
IDCJAC0010,86282,1971,2,8,32.4,20.7
IDCJAC0010,86282,1971,2,9,17.9,17.3
IDCJAC0010,86282,1971,2,10,19.3,11.2
IDCJAC0010,86282,1971,2,11,23.1,12.1
IDCJAC0010,86282,1971,2,12,27.7,11.4
IDCJAC0010,86282,1971,2,13,22.3,11.8
IDCJAC0010,86282,1971,2,14,24.5,10.3
IDCJAC0010,86282,1971,2,15,32.1,12.1
IDCJAC0010,86282,1971,2,16,30.8,17.7
IDCJAC0010,86282,1971,2,17,33.9,17.3
IDCJAC0010,86282,1971,2,18,34.4,17.8
IDCJAC0010,86282,1971,2,19,32.9,23.4
IDCJAC0010,86282,1971,2,20,32.7,22
IDCJAC0010,86282,1971,2,21,19.5,16.6
IDCJAC0010,86282,1971,2,22,19.8,15.4
IDCJAC0010,86282,1971,2,23,17.6,13.3
IDCJAC0010,86282,1971,2,24,25.3,9.9
IDCJAC0010,86282,1971,2,25,28.2,12.8
IDCJAC0010,86282,1971,2,26,28.3,15.2
IDCJAC0010,86282,1971,2,27,31,14.6
IDCJAC0010,86282,1971,2,28,33.3,18.7
IDCJAC0010,86282,1971,3,1,23.4,15.6
IDCJAC0010,86282,1971,3,2,26.1,16.2
IDCJAC0010,86282,1971,3,3,25.8,13.2
IDCJAC0010,86282,1971,3,4,28.4,10.6
IDCJAC0010,86282,1971,3,5,28.5,13.1
IDCJAC0010,86282,1971,3,6,29.3,11.8
IDCJAC0010,86282,1971,3,7,30.6,14.5
IDCJAC0010,86282,1971,3,8,30.8,15.1
IDCJAC0010,86282,1971,3,9,26,20.5
IDCJAC0010,86282,1971,3,10,25.9,17.8
IDCJAC0010,86282,1971,3,11,26.1,15.7
IDCJAC0010,86282,1971,3,12,20.7,16.3
IDCJAC0010,86282,1971,3,13,21.6,15.2
IDCJAC0010,86282,1971,3,14,30.2,8.3
IDCJAC0010,86282,1971,3,15,21.4,16.1
IDCJAC0010,86282,1971,3,16,21.1,14
IDCJAC0010,86282,1971,3,17,23.7,9.4
IDCJAC0010,86282,1971,3,18,23.3,14.2
IDCJAC0010,86282,1971,3,19,19.6,14.4
IDCJAC0010,86282,1971,3,20,21.8,15.1
IDCJAC0010,86282,1971,3,21,22.6,13.4
IDCJAC0010,86282,1971,3,22,31.3,10
IDCJAC0010,86282,1971,3,23,19.9,14.3
IDCJAC0010,86282,1971,3,24,28.8,7.6
IDCJAC0010,86282,1971,3,25,31.9,12.3
IDCJAC0010,86282,1971,3,26,19.8,14.5
IDCJAC0010,86282,1971,3,27,20.7,11.9
IDCJAC0010,86282,1971,3,28,28.2,13
IDCJAC0010,86282,1971,3,29,29.4,17
IDCJAC0010,86282,1971,3,30,32.7,19.1
IDCJAC0010,86282,1971,3,31,20.7,14.5
IDCJAC0010,86282,1971,4,1,26,9.8
IDCJAC0010,86282,1971,4,2,26.4,12.9
IDCJAC0010,86282,1971,4,3,27.1,11.2
IDCJAC0010,86282,1971,4,4,21.8,14.2
IDCJAC0010,86282,1971,4,5,20.8,11.8
IDCJAC0010,86282,1971,4,6,20.9,8.7
IDCJAC0010,86282,1971,4,7,25.9,13.1
IDCJAC0010,86282,1971,4,8,22.9,13.7
IDCJAC0010,86282,1971,4,9,26.3,13.9
IDCJAC0010,86282,1971,4,10,22.6,12.6
IDCJAC0010,86282,1971,4,11,25.6,10.6
IDCJAC0010,86282,1971,4,12,19.6,14.3
IDCJAC0010,86282,1971,4,13,24.7,8.3
IDCJAC0010,86282,1971,4,14,25.7,9.4
IDCJAC0010,86282,1971,4,15,25.4,14.2
IDCJAC0010,86282,1971,4,16,25.4,12.4
IDCJAC0010,86282,1971,4,17,22.1,11.8
IDCJAC0010,86282,1971,4,18,19.3,9.5
IDCJAC0010,86282,1971,4,19,17.8,9.6
IDCJAC0010,86282,1971,4,20,17.1,7.3
IDCJAC0010,86282,1971,4,21,16.8,10.6
IDCJAC0010,86282,1971,4,22,16.6,9.2
IDCJAC0010,86282,1971,4,23,19.4,12.5
IDCJAC0010,86282,1971,4,24,21.7,14
IDCJAC0010,86282,1971,4,25,24.7,11.7
IDCJAC0010,86282,1971,4,26,17.4,10.1
IDCJAC0010,86282,1971,4,27,18.7,11.1
IDCJAC0010,86282,1971,4,28,17,11.7
IDCJAC0010,86282,1971,4,29,15,10.7
IDCJAC0010,86282,1971,4,30,14.9,9.6
IDCJAC0010,86282,1971,5,1,16.6,8.2
IDCJAC0010,86282,1971,5,2,16.1,8.5
IDCJAC0010,86282,1971,5,3,15.2,4.6
IDCJAC0010,86282,1971,5,4,14.4,8.8
IDCJAC0010,86282,1971,5,5,15.1,8.3
IDCJAC0010,86282,1971,5,6,14.4,7.9
IDCJAC0010,86282,1971,5,7,17.2,8.7
IDCJAC0010,86282,1971,5,8,16.2,4.1
IDCJAC0010,86282,1971,5,9,16.6,5.6
IDCJAC0010,86282,1971,5,10,17.3,8.3
IDCJAC0010,86282,1971,5,11,14.3,7.8
IDCJAC0010,86282,1971,5,12,16.6,10.2
IDCJAC0010,86282,1971,5,13,15.1,10.4
IDCJAC0010,86282,1971,5,14,14.4,9.7
IDCJAC0010,86282,1971,5,15,15.7,3.7
IDCJAC0010,86282,1971,5,16,17,3.8
IDCJAC0010,86282,1971,5,17,17.9,5.1
IDCJAC0010,86282,1971,5,18,20.3,7.3
IDCJAC0010,86282,1971,5,19,19.9,8.3
IDCJAC0010,86282,1971,5,20,20.4,6.8
IDCJAC0010,86282,1971,5,21,13.3,4.5
IDCJAC0010,86282,1971,5,22,15.5,6.8
IDCJAC0010,86282,1971,5,23,13.4,5
IDCJAC0010,86282,1971,5,24,17.3,5.5
IDCJAC0010,86282,1971,5,25,20.4,9.9
IDCJAC0010,86282,1971,5,26,16.8,6.8
IDCJAC0010,86282,1971,5,27,14.4,9.1
IDCJAC0010,86282,1971,5,28,10.9,7.9
IDCJAC0010,86282,1971,5,29,12.4,8.3
IDCJAC0010,86282,1971,5,30,13.9,8.6
IDCJAC0010,86282,1971,5,31,14.5,9.4
IDCJAC0010,86282,1971,6,1,11.1,6.3
IDCJAC0010,86282,1971,6,2,15.6,7.2
IDCJAC0010,86282,1971,6,3,14.4,8.3
IDCJAC0010,86282,1971,6,4,14.3,7.7
IDCJAC0010,86282,1971,6,5,14.3,7.8
IDCJAC0010,86282,1971,6,6,15,4.2
IDCJAC0010,86282,1971,6,7,14.3,5.1
IDCJAC0010,86282,1971,6,8,15.3,9.4
IDCJAC0010,86282,1971,6,9,14.6,6.9
IDCJAC0010,86282,1971,6,10,12.3,8.8
IDCJAC0010,86282,1971,6,11,13.3,6.3
IDCJAC0010,86282,1971,6,12,15.4,7.8
IDCJAC0010,86282,1971,6,13,14.2,7.3
IDCJAC0010,86282,1971,6,14,12.2,8.3
IDCJAC0010,86282,1971,6,15,12.7,6.1
IDCJAC0010,86282,1971,6,16,12.2,8.1
IDCJAC0010,86282,1971,6,17,13.1,3.4
IDCJAC0010,86282,1971,6,18,11.9,3.6
IDCJAC0010,86282,1971,6,19,14.1,6.2
IDCJAC0010,86282,1971,6,20,14.3,4.8
IDCJAC0010,86282,1971,6,21,16.2,7.6
IDCJAC0010,86282,1971,6,22,13.2,5.6
IDCJAC0010,86282,1971,6,23,10.6,4.7
