ID,Creator,Type,Permalink,Post Message,Lifetime Post Total Reach,Lifetime Post Paid Reach,Lifetime Post organic reach,Lifetime Post Total Reactions,Lifetime Post Total Comments,Lifetime Post Total Shares,Lifetime Post Total Clicks,Lifetime Post Total Saves
,,,,
'18122346046084612',cristiano,Photo,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=18122346046084612,"This World Mental Health Day let’s get stronger together.
 
Post a photo of yourself with the message ‘Let’s Get Stronger Together’ & tag 3 friends who have supported you through difficult times to spread the awareness about mental health.
 
Submit your photos by using the hashtags: #LetsGetStrongerTogether #WorldMentalHealthDay
 
You can also add our special stickers on your posts! Just search for Let’s Get Stronger Together on Instagram stories.
Check out @clear.haircare for more.
#LetsGetStrongerTogether #WorldMentalHealthDay",32550703,0,32550703,3776620,22146,-,-,16359
'17846536970445247',cristiano,Video,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17846536970445247,Excited about this collaboration with @clear.haircare . A legend has been made. Can’t wait to share with all of you here 😎 #ComeBackStronger  #Madelegend #legendshampoo #ClearMen,24530845,0,24530845,2350959,18394,-,-,17419
'17928143203447365',martavsilva10,Video,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17928143203447365,"E aí, galera! Tem mais novidade de Clear Bora Jogar para vocês!

Agora, além de aprender e praticar futebol com as 10 aulas da plataforma, vocês também podem entrar no #DesafioClearBoraJogar e ter a chance de aparecer aqui no meu perfil.

Para participar, é só postar um vídeo no FEED do Instagram realizando o challenge proposto na aula de CHUTE (aula 5) e utilizando a #DesafioClearBoraJogar. Lembrem-se de deixar o perfil público e me marcar!

Vocês têm até o final de novembro para compartilhar com a gente, e vou estar bem atenta para escolher o vídeo mais criativo 👀

Então, Bora Jogar?! Só acessar a plataforma Clear Bora Jogar para assistir a aula 5 e conferir o regulamento!",162701,0,162701,11627,142,-,-,100
'17902124914506094',tvjornalsbt,Photo,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17902124914506094,😱 Chegou a fase mata-mata da #CopadoNordestenoSBT! ⚽ Os times estão naquela tensão 🥶 para saber quem avança ✅ para a semifinal! 🔋 Sua porcentagem de bateria vai dizer qual a chance do seu time do coração ❤️ vencer nessa fase! E aí? Conta pra gente! 🤔 #Futebol #AD #CopadoNordeste #Publi #ConteúdoPatrocinado #Clear,26302,0,26302,257,14,-,-,3
'18165993235017636',martavsilva10,IGTV,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=18165993235017636,"Agora sou treinadora de todas as mulheres!

Todo apoio e suporte ao futebol feminino é sempre muito bem-vindo, por isso estou muito feliz em anunciar o lançamento da plataforma Clear Bora Jogar. A iniciativa de Clear é uma maneira acessível e diferente de aprender futebol.

Desenvolvemos 10 aulas digitais e 100% gratuitas para todos os níveis, do iniciante ao avançado, ensinando fundamentos, táticas e técnicas da modalidade. 

Que a próxima geração de mulheres encontre na Clear Bora Jogar mais uma forma de fazer parte e crescer dentro desse esporte que inspira a mim e milhões de brasileiros.

E aí, Bora Jogar?

Acesse clearhaircare.com e entre na aba “Bora Jogar” ou busque por Clear Bora Jogar.",132293,0,132293,9545,212,-,-,269
'17890273792674153',cristiano,Photo,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17890273792674153,"Be bold. Be brave. Be confident.
Never let your anxiety hold you back. 
What about you? Tell @clear.haircare three traits that define you. #ComeBackStronger #KeepAClearHead #ClearMen",22376055,0,22376055,2269535,14285,-,-,10856
'18161683957043881',cristiano,Video,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=18161683957043881,"New season. New challenge. 

Build your resilience with @clear.haircare 

#ComeBackStronger #KeepAClearHead #ClearMen",21360205,0,21360205,1627790,11491,-,-,7426
'17851265522250694',goalglobal,Video,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17851265522250694,"101 international goals and counting 😍
Congratulations on this milestone @cristiano 🏆

#ComeBackStronger #KeepAClearHead #ClearMen",141091,0,141091,13120,71,-,-,175
'18158106799062017',cristiano,Video,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=18158106799062017,"We touch our hair 96 times a day on average, transferring bacteria, dirt and grease from our hands unknowingly. I use CLEAR Men Deep Cleanse to thoroughly remove bacteria or dandruff from my scalp and hair. Try it yourself.
#KeepAClearHead #deepcleanse #keepclean #menshampoo",20863472,0,20863472,1545962,14005,-,-,13432
'17862297302012742',cristiano,Video,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17862297302012742,"Staying healthy and hygienic is important. 
Keep a safe distance, wash your hands rigorously and don’t forget keep your hair, scalp & body clean daily. 
@clearindonesia has new Clear Men 3-in-1 for your hygiene needs, try it now!
Want to see this in your country? Comment below!
#Sikathabis #KeepAClearHead #ClearMen3in1",30589840,10883935,20819329,1558563,10730,-,-,10418
'17857533107063731',goalglobal,Video,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17857533107063731,"🏆🏆🏆🏆🏆🏆🏆

League title No.7 for @cristiano

#KeepAClearHead #ComeBackStronger",141986,0,141986,12275,84,-,-,225
'17895677860552896',goalglobal,Story,https://facebook.com/collabsmanager/brand/insights?page_id=111693948918341&bc_auto_shown_tagged_post_id=17895677860552896,,36719,0,36719,-,-,-,-,-
